team1,team1score,team2,team2score,Week,Year
Detroit Panthers,25, Akron Indians,0,06,1926
Frankford Yellow Jackets,17, Canton Bulldogs,0,06,1926
Green Bay Packers,35, Racine Tornadoes,0,06,1926
Hartford Blues,16, Brooklyn Lions,6,06,1926
New York Giants,13, Kansas City Cowboys,0,06,1926
Providence Steam Roller,14, Pottsville Maroons,0,06,1926
Chicago Bears,17, Akron Indians,0,07,1926
Detroit Panthers,6, Canton Bulldogs,0,07,1926
Duluth Eskimos,7, Milwaukee Badgers,6,07,1926
Frankford Yellow Jackets,6, Providence Steam Roller,3,07,1926
Green Bay Packers,3, Chicago Cardinals,0,07,1926
Kansas City Cowboys,7, Hartford Blues,2,07,1926
New York Giants,7, Canton Bulldogs,7,07,1926
Pottsville Maroons,14, Buffalo Rangers,0,07,1926
Providence Steam Roller,7, Frankford Yellow Jackets,6,07,1926
Buffalo Rangers,26, Columbus Tigers,0,08,1926
Chicago Bears,34, Louisville Colonels,0,08,1926
Detroit Panthers,0, Duluth Eskimos,0,08,1926
Frankford Yellow Jackets,33, Chicago Cardinals,7,08,1926
Green Bay Packers,21, Milwaukee Badgers,0,08,1926
Hartford Blues,16, Canton Bulldogs,7,08,1926
Kansas City Cowboys,10, Brooklyn Lions,9,08,1926
Los Angeles Buccaneers,7, Providence Steam Roller,6,08,1926
New York Giants,20, Chicago Cardinals,0,08,1926
Pottsville Maroons,34, Akron Indians,0,08,1926
Brooklyn Lions,19, Canton Bulldogs,0,09,1926
Buffalo Rangers,13, Hartford Blues,7,09,1926
Chicago Bears,10, Chicago Cardinals,0,09,1926
Chicago Bears,10, Milwaukee Badgers,7,09,1926
Detroit Panthers,0, Dayton Triangles,0,09,1926
Frankford Yellow Jackets,10, Duluth Eskimos,0,09,1926
Green Bay Packers,14, Louisville Colonels,0,09,1926
Kansas City Cowboys,22, Providence Steam Roller,0,09,1926
Los Angeles Buccaneers,6, New York Giants,0,09,1926
New York Giants,14, Duluth Eskimos,13,09,1926
Pottsville Maroons,13, Duluth Eskimos,0,09,1926
Pottsville Maroons,10, Los Angeles Buccaneers,0,09,1926
Providence Steam Roller,32, Canton Bulldogs,2,09,1926
Chicago Bears,19, Green Bay Packers,13,10,1926
Duluth Eskimos,10, Canton Bulldogs,2,10,1926
Frankford Yellow Jackets,35, Dayton Triangles,0,10,1926
Hartford Blues,16, Dayton Triangles,0,10,1926
Kansas City Cowboys,2, Buffalo Rangers,0,10,1926
Los Angeles Buccaneers,20, Brooklyn Lions,0,10,1926
New York Giants,21, Providence Steam Roller,0,10,1926
Pottsville Maroons,7, Hammond Pros,0,10,1926
Buffalo Rangers,0, Pottsville Maroons,0,11,1926
Canton Bulldogs,0, Akron Indians,0,11,1926
Chicago Bears,0, Chicago Cardinals,0,11,1926
Chicago Bears,35, Canton Bulldogs,0,11,1926
Duluth Eskimos,16, Hartford Blues,0,11,1926
Frankford Yellow Jackets,7, Detroit Panthers,6,11,1926
Frankford Yellow Jackets,20, Green Bay Packers,14,11,1926
Green Bay Packers,7, Detroit Panthers,0,11,1926
Kansas City Cowboys,7, Chicago Cardinals,2,11,1926
Los Angeles Buccaneers,9, Detroit Panthers,6,11,1926
New York Giants,17, Brooklyn Lions,0,11,1926
New York Giants,27, Brooklyn Lions,0,11,1926
Pottsville Maroons,8, Providence Steam Roller,0,11,1926
Providence Steam Roller,0, Duluth Eskimos,0,11,1926
Frankford Yellow Jackets,7, Chicago Bears,6,12,1926
Kansas City Cowboys,7, Los Angeles Buccaneers,3,12,1926
Chicago Bears,9, Pottsville Maroons,7,13,1926
Frankford Yellow Jackets,24, Providence Steam Roller,0,13,1926
Kansas City Cowboys,12, Duluth Eskimos,7,13,1926
Chicago Bears,3, Green Bay Packers,3,14,1926
Frankford Yellow Jackets,0, Pottsville Maroons,0,14,1926
Green Bay Packers,14, Dayton Triangles,0,01,1927
Chicago Bears,9, Chicago Cardinals,0,02,1927
Dayton Triangles,6, Frankford Yellow Jackets,3,02,1927
Green Bay Packers,12, Cleveland Bulldogs,7,02,1927
New York Giants,8, Providence Steam Roller,0,02,1927
Pottsville Maroons,22, Buffalo Bisons,0,02,1927
Chicago Bears,7, Green Bay Packers,6,03,1927
Chicago Cardinals,19, Pottsville Maroons,7,03,1927
Cleveland Bulldogs,0, New York Giants,0,03,1927
New York Yankees,6, Dayton Triangles,3,03,1927
Providence Steam Roller,5, Buffalo Bisons,0,03,1927
Chicago Cardinals,7, Dayton Triangles,0,04,1927
Frankford Yellow Jackets,0, Dayton Triangles,0,04,1927
Green Bay Packers,20, Duluth Eskimos,0,04,1927
New York Giants,19, Pottsville Maroons,0,04,1927
New York Yankees,13, Cleveland Bulldogs,7,04,1927
Chicago Bears,12, New York Yankees,0,05,1927
Cleveland Bulldogs,6, New York Giants,0,05,1927
Frankford Yellow Jackets,54, Buffalo Bisons,0,05,1927
Frankford Yellow Jackets,23, Buffalo Bisons,0,05,1927
Green Bay Packers,13, Chicago Cardinals,0,05,1927
New York Yankees,19, Buffalo Bisons,8,05,1927
Pottsville Maroons,6, Providence Steam Roller,3,05,1927
Chicago Bears,14, Cleveland Bulldogs,12,06,1927
Duluth Eskimos,27, Pottsville Maroons,0,06,1927
Green Bay Packers,13, New York Yankees,0,06,1927
New York Giants,13, Frankford Yellow Jackets,0,06,1927
New York Giants,27, Frankford Yellow Jackets,0,06,1927
Providence Steam Roller,7, Dayton Triangles,0,06,1927
Chicago Bears,14, Dayton Triangles,6,07,1927
Cleveland Bulldogs,21, Duluth Eskimos,20,07,1927
New York Giants,16, Pottsville Maroons,0,07,1927
New York Yankees,7, Chicago Cardinals,6,07,1927
Providence Steam Roller,20, Frankford Yellow Jackets,7,07,1927
Providence Steam Roller,14, Frankford Yellow Jackets,0,07,1927
Chicago Bears,0, Providence Steam Roller,0,08,1927
Chicago Cardinals,6, Green Bay Packers,6,08,1927
Cleveland Bulldogs,15, New York Yankees,0,08,1927
Frankford Yellow Jackets,10, Pottsville Maroons,0,08,1927
New York Giants,21, Duluth Eskimos,0,08,1927
Pottsville Maroons,9, Frankford Yellow Jackets,0,08,1927
Chicago Bears,30, Pottsville Maroons,12,09,1927
Cleveland Bulldogs,37, Frankford Yellow Jackets,0,09,1927
Frankford Yellow Jackets,22, Cleveland Bulldogs,0,09,1927
Green Bay Packers,6, Dayton Triangles,0,09,1927
New York Giants,25, Providence Steam Roller,0,09,1927
New York Yankees,19, Pottsville Maroons,12,09,1927
New York Yankees,26, Chicago Bears,6,09,1927
New York Yankees,20, Chicago Cardinals,6,09,1927
Providence Steam Roller,13, Duluth Eskimos,7,09,1927
Chicago Bears,14, Green Bay Packers,6,10,1927
Cleveland Bulldogs,22, Providence Steam Roller,0,10,1927
Frankford Yellow Jackets,12, Chicago Cardinals,8,10,1927
New York Giants,28, Chicago Cardinals,7,10,1927
Pottsville Maroons,6, Duluth Eskimos,0,10,1927
Chicago Cardinals,3, Chicago Bears,0,11,1927
Cleveland Bulldogs,30, New York Yankees,19,11,1927
Cleveland Bulldogs,32, Chicago Cardinals,7,11,1927
Frankford Yellow Jackets,6, Duluth Eskimos,0,11,1927
Green Bay Packers,17, Frankford Yellow Jackets,9,11,1927
New York Giants,13, Chicago Bears,7,11,1927
Pottsville Maroons,6, Providence Steam Roller,0,11,1927
Providence Steam Roller,14, New York Yankees,7,11,1927
Chicago Bears,9, Frankford Yellow Jackets,0,12,1927
Cleveland Bulldogs,20, Duluth Eskimos,0,12,1927
Frankford Yellow Jackets,0, Chicago Bears,0,12,1927
New York Giants,14, New York Yankees,0,12,1927
Providence Steam Roller,9, New York Yankees,0,12,1927
Providence Steam Roller,20, Pottsville Maroons,0,12,1927
Chicago Bears,27, Duluth Eskimos,14,13,1927
Frankford Yellow Jackets,6, New York Yankees,6,13,1927
New York Giants,13, New York Yankees,0,13,1927
Chicago Bears,15, Chicago Cardinals,0,01,1928
Frankford Yellow Jackets,19, Green Bay Packers,9,01,1928
Frankford Yellow Jackets,6, Dayton Triangles,0,02,1928
Green Bay Packers,12, Chicago Bears,12,02,1928
New York Giants,12, Pottsville Maroons,6,02,1928
Providence Steam Roller,20, New York Yankees,7,02,1928
Chicago Cardinals,7, Dayton Triangles,0,03,1928
Frankford Yellow Jackets,10, Providence Steam Roller,6,03,1928
New York Giants,6, Green Bay Packers,0,03,1928
Pottsville Maroons,9, New York Yankees,7,03,1928
Chicago Bears,13, New York Giants,0,04,1928
Detroit Wolverines,35, New York Yankees,12,04,1928
Green Bay Packers,20, Chicago Cardinals,0,04,1928
New York Yankees,13, Frankford Yellow Jackets,0,04,1928
Providence Steam Roller,28, Dayton Triangles,0,04,1928
Detroit Wolverines,28, New York Giants,0,05,1928
Frankford Yellow Jackets,13, Dayton Triangles,9,05,1928
Green Bay Packers,16, Chicago Bears,6,05,1928
Providence Steam Roller,12, New York Yankees,6,05,1928
Detroit Wolverines,6, Chicago Bears,0,06,1928
Green Bay Packers,17, Dayton Triangles,0,06,1928
New York Giants,10, New York Yankees,7,06,1928
Providence Steam Roller,13, Pottsville Maroons,6,06,1928
Chicago Bears,27, New York Yankees,0,07,1928
Frankford Yellow Jackets,25, Detroit Wolverines,7,07,1928
Green Bay Packers,26, Pottsville Maroons,14,07,1928
New York Giants,13, Pottsville Maroons,7,07,1928
New York Giants,0, Frankford Yellow Jackets,0,07,1928
Providence Steam Roller,7, Detroit Wolverines,0,07,1928
Chicago Bears,27, Dayton Triangles,0,08,1928
Frankford Yellow Jackets,19, Pottsville Maroons,0,08,1928
Frankford Yellow Jackets,24, Pottsville Maroons,0,08,1928
Green Bay Packers,0, New York Yankees,0,08,1928
New York Giants,19, Detroit Wolverines,19,08,1928
Chicago Bears,13, Pottsville Maroons,6,09,1928
Detroit Wolverines,13, New York Yankees,0,09,1928
Green Bay Packers,7, New York Giants,0,09,1928
Providence Steam Roller,6, Frankford Yellow Jackets,0,09,1928
Providence Steam Roller,6, Frankford Yellow Jackets,0,09,1928
Detroit Wolverines,14, Chicago Bears,7,10,1928
Frankford Yellow Jackets,19, Chicago Cardinals,0,10,1928
New York Yankees,19, Chicago Cardinals,0,10,1928
Pottsville Maroons,26, Green Bay Packers,0,10,1928
Providence Steam Roller,16, New York Giants,0,10,1928
Chicago Bears,28, Frankford Yellow Jackets,6,11,1928
Chicago Bears,34, Chicago Cardinals,0,11,1928
Detroit Wolverines,33, Dayton Triangles,0,11,1928
Frankford Yellow Jackets,2, Green Bay Packers,0,11,1928
New York Yankees,19, New York Giants,13,11,1928
Providence Steam Roller,7, Green Bay Packers,7,11,1928
Providence Steam Roller,7, Pottsville Maroons,0,11,1928
Detroit Wolverines,34, New York Yankees,6,12,1928
Frankford Yellow Jackets,7, New York Giants,0,12,1928
Green Bay Packers,6, Chicago Bears,0,12,1928
Frankford Yellow Jackets,19, Chicago Bears,0,13,1928
New York Yankees,8, New York Giants,6,13,1928
Chicago Bears,19, Minneapolis Redjackets,6,01,1929
Green Bay Packers,9, Dayton Triangles,0,01,1929
Chicago Cardinals,9, Buffalo Bisons,3,02,1929
Frankford Yellow Jackets,14, Dayton Triangles,7,02,1929
Green Bay Packers,23, Chicago Bears,0,02,1929
Orange Tornadoes,0, New York Giants,0,02,1929
Providence Steam Roller,41, Dayton Triangles,0,02,1929
Chicago Bears,7, Minneapolis Redjackets,6,03,1929
Frankford Yellow Jackets,19, Buffalo Bisons,0,03,1929
Frankford Yellow Jackets,13, Buffalo Bisons,0,03,1929
Green Bay Packers,9, Chicago Cardinals,2,03,1929
New York Giants,7, Providence Steam Roller,0,03,1929
Orange Tornadoes,7, Boston Bulldogs,0,03,1929
Staten Island Stapletons,12, Dayton Triangles,0,03,1929
Boston Bulldogs,41, Dayton Triangles,0,04,1929
Chicago Bears,16, Buffalo Bisons,0,04,1929
Green Bay Packers,14, Frankford Yellow Jackets,2,04,1929
Minneapolis Redjackets,14, Chicago Cardinals,7,04,1929
New York Giants,19, Staten Island Stapletons,9,04,1929
Providence Steam Roller,7, Orange Tornadoes,0,04,1929
Chicago Bears,0, Chicago Cardinals,0,05,1929
Frankford Yellow Jackets,6, Orange Tornadoes,6,05,1929
Green Bay Packers,24, Minneapolis Redjackets,0,05,1929
New York Giants,32, Frankford Yellow Jackets,0,05,1929
Orange Tornadoes,19, Boston Bulldogs,13,05,1929
Providence Steam Roller,7, Buffalo Bisons,7,05,1929
Boston Bulldogs,14, Buffalo Bisons,6,06,1929
Chicago Bears,27, Minneapolis Redjackets,0,06,1929
Frankford Yellow Jackets,6, Staten Island Stapletons,6,06,1929
Frankford Yellow Jackets,3, Staten Island Stapletons,0,06,1929
Green Bay Packers,7, Chicago Cardinals,6,06,1929
New York Giants,19, Providence Steam Roller,0,06,1929
Boston Bulldogs,6, Orange Tornadoes,0,07,1929
Frankford Yellow Jackets,8, Chicago Cardinals,0,07,1929
Green Bay Packers,16, Minneapolis Redjackets,6,07,1929
New York Giants,26, Chicago Bears,14,07,1929
Staten Island Stapletons,0, Orange Tornadoes,0,07,1929
Chicago Cardinals,16, Providence Steam Roller,0,08,1929
Chicago Cardinals,8, Minneapolis Redjackets,0,08,1929
Frankford Yellow Jackets,7, Providence Steam Roller,6,08,1929
Frankford Yellow Jackets,7, Providence Steam Roller,0,08,1929
Green Bay Packers,14, Chicago Bears,0,08,1929
New York Giants,45, Buffalo Bisons,6,08,1929
New York Giants,22, Orange Tornadoes,0,08,1929
Staten Island Stapletons,7, Providence Steam Roller,7,08,1929
Staten Island Stapletons,14, Boston Bulldogs,6,08,1929
Boston Bulldogs,12, Buffalo Bisons,7,09,1929
Frankford Yellow Jackets,20, Chicago Bears,14,09,1929
Green Bay Packers,12, Chicago Cardinals,0,09,1929
New York Giants,34, Chicago Bears,0,09,1929
Orange Tornadoes,0, Frankford Yellow Jackets,0,09,1929
Providence Steam Roller,19, Minneapolis Redjackets,16,09,1929
Buffalo Bisons,19, Chicago Bears,7,10,1929
Chicago Cardinals,19, Dayton Triangles,0,10,1929
Frankford Yellow Jackets,24, Minneapolis Redjackets,0,10,1929
Green Bay Packers,20, New York Giants,6,10,1929
Providence Steam Roller,20, Boston Bulldogs,6,10,1929
Staten Island Stapletons,34, Minneapolis Redjackets,0,10,1929
Chicago Bears,0, Frankford Yellow Jackets,0,11,1929
Chicago Cardinals,40, Chicago Bears,6,11,1929
Frankford Yellow Jackets,0, Green Bay Packers,0,11,1929
Green Bay Packers,25, Providence Steam Roller,0,11,1929
New York Giants,24, Chicago Cardinals,21,11,1929
New York Giants,21, Staten Island Stapletons,7,11,1929
Orange Tornadoes,0, Staten Island Stapletons,0,11,1929
Chicago Cardinals,26, Orange Tornadoes,0,12,1929
Green Bay Packers,25, Chicago Bears,0,12,1929
New York Giants,12, Frankford Yellow Jackets,0,12,1929
New York Giants,31, Frankford Yellow Jackets,0,12,1929
Frankford Yellow Jackets,10, Orange Tornadoes,0,13,1929
New York Giants,14, Chicago Bears,9,13,1929
Portsmouth Spartans,13, Newark Tornadoes,6,01,1930
Chicago Bears,0, Brooklyn Dodgers,0,02,1930
Green Bay Packers,14, Chicago Cardinals,0,02,1930
New York Giants,32, Newark Tornadoes,0,02,1930
Staten Island Stapletons,12, Newark Tornadoes,6,02,1930
Frankford Yellow Jackets,13, Newark Tornadoes,6,03,1930
Frankford Yellow Jackets,7, Staten Island Stapletons,3,03,1930
Green Bay Packers,7, Chicago Bears,0,03,1930
Minneapolis Redjackets,7, Chicago Cardinals,7,03,1930
New York Giants,27, Providence Steam Roller,7,03,1930
Portsmouth Spartans,12, Brooklyn Dodgers,0,03,1930
Staten Island Stapletons,21, Frankford Yellow Jackets,0,03,1930
Brooklyn Dodgers,20, Staten Island Stapletons,0,04,1930
Chicago Bears,20, Minneapolis Redjackets,0,04,1930
Green Bay Packers,14, New York Giants,7,04,1930
Newark Tornadoes,7, Staten Island Stapletons,7,04,1930
Newark Tornadoes,19, Frankford Yellow Jackets,0,04,1930
Portsmouth Spartans,0, Chicago Cardinals,0,04,1930
Providence Steam Roller,14, Newark Tornadoes,0,04,1930
Providence Steam Roller,14, Frankford Yellow Jackets,0,04,1930
Brooklyn Dodgers,32, Newark Tornadoes,0,05,1930
Chicago Cardinals,13, Newark Tornadoes,0,05,1930
Green Bay Packers,27, Frankford Yellow Jackets,12,05,1930
Minneapolis Redjackets,13, Portsmouth Spartans,0,05,1930
New York Giants,12, Chicago Bears,0,05,1930
Portsmouth Spartans,39, Frankford Yellow Jackets,7,05,1930
Providence Steam Roller,9, Chicago Cardinals,7,05,1930
Brooklyn Dodgers,14, Frankford Yellow Jackets,7,06,1930
Brooklyn Dodgers,14, Newark Tornadoes,0,06,1930
Chicago Bears,32, Chicago Cardinals,6,06,1930
Green Bay Packers,13, Minneapolis Redjackets,0,06,1930
New York Giants,53, Frankford Yellow Jackets,0,06,1930
New York Giants,25, Chicago Cardinals,12,06,1930
Providence Steam Roller,7, Staten Island Stapletons,6,06,1930
Chicago Bears,13, Frankford Yellow Jackets,7,07,1930
Chicago Cardinals,23, Portsmouth Spartans,13,07,1930
Chicago Cardinals,34, Frankford Yellow Jackets,7,07,1930
Green Bay Packers,19, Minneapolis Redjackets,0,07,1930
New York Giants,25, Providence Steam Roller,0,07,1930
Portsmouth Spartans,7, Chicago Bears,6,07,1930
Staten Island Stapletons,6, Newark Tornadoes,0,07,1930
Chicago Bears,20, Minneapolis Redjackets,7,08,1930
Chicago Cardinals,6, Frankford Yellow Jackets,0,08,1930
Green Bay Packers,47, Portsmouth Spartans,13,08,1930
New York Giants,9, Staten Island Stapletons,7,08,1930
New York Giants,34, Newark Tornadoes,7,08,1930
Providence Steam Roller,3, Brooklyn Dodgers,0,08,1930
Brooklyn Dodgers,34, Minneapolis Redjackets,0,09,1930
Frankford Yellow Jackets,20, Providence Steam Roller,7,09,1930
Green Bay Packers,13, Chicago Bears,12,09,1930
New York Giants,19, Portsmouth Spartans,6,09,1930
New York Giants,13, Chicago Cardinals,7,09,1930
Providence Steam Roller,7, Frankford Yellow Jackets,7,09,1930
Staten Island Stapletons,13, Portsmouth Spartans,13,09,1930
Chicago Bears,12, New York Giants,0,10,1930
Chicago Cardinals,13, Green Bay Packers,6,10,1930
Frankford Yellow Jackets,7, Portsmouth Spartans,6,10,1930
Chicago Bears,13, Frankford Yellow Jackets,6,11,1930
New York Giants,13, Green Bay Packers,6,11,1930
Providence Steam Roller,10, Minneapolis Redjackets,0,11,1930
Staten Island Stapletons,6, Brooklyn Dodgers,0,11,1930
Brooklyn Dodgers,7, New York Giants,6,12,1930
Brooklyn Dodgers,33, Providence Steam Roller,12,12,1930
Chicago Bears,14, Portsmouth Spartans,6,12,1930
Chicago Bears,6, Chicago Cardinals,0,12,1930
Green Bay Packers,37, Staten Island Stapletons,7,12,1930
Green Bay Packers,25, Frankford Yellow Jackets,7,12,1930
Staten Island Stapletons,7, New York Giants,6,12,1930
Chicago Bears,21, Green Bay Packers,0,13,1930
New York Giants,14, Frankford Yellow Jackets,6,13,1930
New York Giants,13, Brooklyn Dodgers,0,13,1930
Portsmouth Spartans,42, Minneapolis Redjackets,0,13,1930
Portsmouth Spartans,6, Green Bay Packers,6,14,1930
Green Bay Packers,26, Cleveland Indians,0,01,1931
Portsmouth Spartans,14, Brooklyn Dodgers,0,01,1931
Chicago Bears,21, Cleveland Indians,0,02,1931
Green Bay Packers,32, Brooklyn Dodgers,6,02,1931
Cleveland Indians,6, Brooklyn Dodgers,0,03,1931
Green Bay Packers,7, Chicago Bears,0,03,1931
New York Giants,14, Providence Steam Roller,6,03,1931
Portsmouth Spartans,13, Chicago Cardinals,3,03,1931
Brooklyn Dodgers,20, Frankford Yellow Jackets,0,04,1931
Green Bay Packers,27, New York Giants,7,04,1931
Portsmouth Spartans,14, New York Giants,6,04,1931
Providence Steam Roller,0, Frankford Yellow Jackets,0,04,1931
Staten Island Stapletons,9, Brooklyn Dodgers,7,04,1931
Brooklyn Dodgers,18, Staten Island Stapletons,6,05,1931
Chicago Bears,6, New York Giants,0,05,1931
Green Bay Packers,26, Chicago Cardinals,7,05,1931
Portsmouth Spartans,6, Cleveland Indians,0,05,1931
Providence Steam Roller,6, Frankford Yellow Jackets,0,05,1931
Chicago Bears,26, Chicago Cardinals,13,06,1931
Cleveland Indians,13, Providence Steam Roller,6,06,1931
Green Bay Packers,15, Frankford Yellow Jackets,0,06,1931
New York Giants,7, Staten Island Stapletons,0,06,1931
Portsmouth Spartans,19, Brooklyn Dodgers,0,06,1931
Portsmouth Spartans,19, Frankford Yellow Jackets,0,06,1931
Frankford Yellow Jackets,13, Chicago Bears,12,07,1931
Green Bay Packers,48, Providence Steam Roller,20,07,1931
New York Giants,27, Brooklyn Dodgers,0,07,1931
Portsmouth Spartans,20, Staten Island Stapletons,7,07,1931
Chicago Cardinals,14, Brooklyn Dodgers,7,08,1931
Green Bay Packers,6, Chicago Bears,2,08,1931
New York Giants,14, Portsmouth Spartans,0,08,1931
Staten Island Stapletons,7, Providence Steam Roller,7,08,1931
Chicago Bears,9, Portsmouth Spartans,6,09,1931
Chicago Cardinals,14, Cleveland Indians,6,09,1931
Green Bay Packers,26, Staten Island Stapletons,0,09,1931
New York Giants,13, Frankford Yellow Jackets,0,09,1931
Providence Steam Roller,7, Brooklyn Dodgers,0,09,1931
Staten Island Stapletons,13, Brooklyn Dodgers,0,09,1931
Chicago Bears,12, New York Giants,6,10,1931
Chicago Cardinals,21, Green Bay Packers,13,10,1931
Portsmouth Spartans,14, Staten Island Stapletons,12,10,1931
Portsmouth Spartans,14, Cleveland Indians,6,10,1931
Providence Steam Roller,6, Staten Island Stapletons,0,10,1931
Chicago Bears,26, Brooklyn Dodgers,0,11,1931
Chicago Cardinals,20, Portsmouth Spartans,19,11,1931
Green Bay Packers,14, New York Giants,10,11,1931
Providence Steam Roller,13, Cleveland Indians,7,11,1931
Staten Island Stapletons,16, Cleveland Indians,7,11,1931
Chicago Bears,18, Chicago Cardinals,7,12,1931
Chicago Cardinals,21, Cleveland Indians,0,12,1931
Green Bay Packers,7, Brooklyn Dodgers,0,12,1931
Green Bay Packers,38, Providence Steam Roller,7,12,1931
New York Giants,0, Providence Steam Roller,0,12,1931
Portsmouth Spartans,3, Chicago Bears,0,12,1931
Staten Island Stapletons,9, New York Giants,6,12,1931
Chicago Bears,7, Green Bay Packers,6,13,1931
New York Giants,19, Brooklyn Dodgers,6,13,1931
New York Giants,25, Chicago Bears,6,14,1931
