lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
Hilario,Nene,PF,Rockets,218,94,155,40,317,37,23,13,40910
Hill,George,PG,Cavaliers,450,136,159,166,591,80,51,20,94850
Hill,Solomon,SF,Pelicans,0,0,0,1,0,0,0,0,503
Hilliard,Darrun,SG,Spurs,19,7,7,11,16,4,2,0,5713
Hoiberg,Fred,C,Bulls,0,0,0,0,0,0,0,0,720
Holiday,Jrue,SG,Pelicans,1087,212,310,411,1340,179,98,54,153361
Holiday,Justin,SG,Bulls,666,147,263,133,767,80,64,30,119439
Holland,John,SF,Cavaliers,35,4,17,4,30,4,6,2,7110
Hollis-Jefferson,Rondae,PF,Nets,613,263,369,134,805,98,48,38,93642
Holmes,Richaun,C,76ers,168,36,154,44,201,20,15,19,31308
Hood,Rodney,SG,Cavaliers,665,109,142,81,772,70,38,11,82572
Hopson,Scotty,SG,Mavericks,1,2,0,1,1,1,0,0,503
Horford,Al,C,Celtics,662,94,472,303,807,119,36,70,119439
Hornacek,Jeff,C,Knicks,0,0,0,0,0,0,0,0,2880
House,Danuel,F,Suns,67,19,37,8,74,5,5,1,11606
Howard,Dwight,C,Hornets,784,488,846,92,1150,182,43,120,127774
Huestis,Josh,SF,Thunder,178,18,159,20,155,26,15,42,57445
Humphries,Kris,PF,Hawks,0,0,0,0,0,0,0,0,0
Hunter,RJ,SG,Rockets,0,0,1,2,0,0,0,0,100
Hunter,Vince,PF,Grizzlies,5,0,3,0,6,1,0,1,444
Ibaka,Serge,PF,Raptors,672,108,405,50,819,77,25,81,106981
Iguodala,Andre,SF,Warriors,283,85,224,189,342,61,48,35,88452
Ilyasova,Ersan,PF,76ers,469,104,294,68,582,54,51,19,81822
Ingles,Joe,SF,Jazz,605,59,291,304,791,135,78,16,131170
Ingram,Brandon,SF,Lakers,744,273,306,220,924,142,44,43,115483
Irving,Kyrie,PG,Celtics,1087,261,227,306,1466,140,65,17,115888
Isaac,Jonathan,F,Magic,121,20,86,15,116,22,24,26,27973
Iwundu,Wesley,SF,Magic,161,34,108,44,174,22,27,8,45240
Jack,Jarrett,PG,Knicks,419,70,179,333,438,113,35,4,88952
Jackson,Demetrius,PG,76ers,14,0,11,5,8,10,4,1,3752
Jackson,Frank,PG,Pelicans,0,0,0,0,0,0,0,0,0
Jackson,Josh,SF,Suns,750,230,299,93,822,120,62,30,98428
Jackson,Justin,SF,Kings,334,32,152,58,361,33,24,10,71283
Jackson,Reggie,PG,Pistons,407,94,93,180,483,82,20,3,53613
James,LeBron,SF,Cavaliers,1319,425,596,619,1870,297,106,68,152937
James,Mike,PG,Pelicans,320,84,90,126,336,50,28,7,41190
Jefferson,Al,C,Pacers,190,28,130,28,226,19,15,20,26728
Jefferson,Amile,PF,Timberwolves,0,0,0,0,0,0,0,0,0
Jefferson,Richard,SF,Nuggets,27,7,16,13,30,5,2,1,9555
